type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
CALORIES_BURNED_GOAL,DAILY,2715.0,54.0,INPROGRESS_SO_FAR_MISSED,false,2023-09-27,2023-09-28,2023-09-20T19:12:00.000+00:00,null
STEPS_GOAL,DAILY,10000.0,136.0,INPROGRESS_SO_FAR_MISSED,false,2023-09-27,2023-09-28,2023-09-20T19:12:00.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-09-27,2023-09-28,2023-09-20T19:12:00.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.063181,INPROGRESS_SO_FAR_MISSED,false,2023-09-27,2023-09-28,2023-09-20T19:12:00.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-09-27,2023-09-28,2023-09-20T19:12:00.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,36872.0,INPROGRESS_SO_FAR_MISSED,true,2023-09-24,2023-10-01,2023-09-20T19:12:00.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,17.1206,INPROGRESS_SO_FAR_MISSED,false,2023-09-24,2023-10-01,2023-09-20T19:12:00.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,92.0,COMPLETED_ACHIEVED,false,2023-09-24,2023-10-01,2023-09-20T19:12:00.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,19005.0,9987.0,INPROGRESS_SO_FAR_MISSED,false,2023-09-24,2023-10-01,2023-09-20T19:12:00.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-09-17,2023-09-24,2023-09-20T19:12:00.000+00:00,null
