timestamp,Infrared to Red Signal Ratio
09/22/23 02:06:32,1
09/22/23 02:07:35,-3
09/22/23 02:08:36,-2
09/22/23 02:09:36,-2
09/22/23 02:10:36,0
09/22/23 02:11:36,-9
09/22/23 02:12:36,-4
09/22/23 02:13:36,-6
09/22/23 02:14:37,-11
09/22/23 02:15:37,2
09/22/23 02:16:37,3
09/22/23 02:17:37,7
09/22/23 02:18:37,0
09/22/23 02:19:37,0
09/22/23 02:20:37,-2
09/22/23 02:21:38,-6
09/22/23 02:22:38,-2
09/22/23 02:23:38,0
09/22/23 02:24:38,-1
09/22/23 02:25:39,-2
09/22/23 02:26:39,0
09/22/23 02:27:39,-3
09/22/23 02:28:39,-1
09/22/23 02:29:39,0
09/22/23 02:30:39,-5
09/22/23 02:31:39,-1
09/22/23 02:32:40,0
09/22/23 02:33:40,2
09/22/23 02:34:40,17
09/22/23 02:35:40,0
09/22/23 02:36:40,1
09/22/23 02:37:41,15
09/22/23 02:38:41,-5
09/22/23 02:39:41,33
09/22/23 02:40:41,32
09/22/23 02:41:42,45
09/22/23 02:42:42,33
09/22/23 02:43:42,-2
09/22/23 02:44:42,-2
09/22/23 02:45:42,27
09/22/23 02:46:42,-20
09/22/23 02:47:43,-9
09/22/23 02:48:43,11
09/22/23 02:49:43,-1
09/22/23 02:50:43,-1
09/22/23 02:51:43,-5
09/22/23 02:52:44,0
09/22/23 02:53:44,-11
09/22/23 02:54:44,-5
09/22/23 02:55:44,-5
09/22/23 02:56:44,31
09/22/23 02:57:45,-5
09/22/23 02:58:45,-4
09/22/23 02:59:45,0
09/22/23 03:00:45,52
09/22/23 03:01:45,-8
09/22/23 03:02:45,-2
09/22/23 03:03:45,-22
09/22/23 03:04:46,-2
09/22/23 03:05:46,-1
09/22/23 03:06:46,9
09/22/23 03:07:46,-30
09/22/23 03:08:46,23
09/22/23 03:09:46,0
09/22/23 03:10:46,-10
09/22/23 03:11:46,-2
09/22/23 03:12:46,-1
09/22/23 03:13:46,2
09/22/23 03:14:47,-21
09/22/23 03:15:47,-9
09/22/23 03:16:47,-90
09/22/23 03:17:47,-21
09/22/23 03:18:47,0
09/22/23 03:19:47,5
09/22/23 03:20:47,-7
09/22/23 03:21:48,-1
09/22/23 03:22:49,-40
09/22/23 03:23:49,48
09/22/23 03:24:49,6
09/22/23 03:25:49,0
09/22/23 03:26:49,13
09/22/23 03:27:49,59
09/22/23 03:28:50,0
09/22/23 03:29:50,-2
09/22/23 03:30:50,-20
09/22/23 03:31:50,5
09/22/23 03:32:50,78
09/22/23 03:33:50,6
09/22/23 03:34:51,-1
09/22/23 03:35:51,33
09/22/23 03:36:51,-1
09/22/23 03:37:51,0
09/22/23 03:38:51,-5
09/22/23 03:39:51,6
09/22/23 03:40:51,1
09/22/23 03:41:51,-1
09/22/23 03:42:52,5
09/22/23 03:43:52,-15
09/22/23 03:44:52,-1
09/22/23 03:45:52,0
09/22/23 03:46:52,0
09/22/23 03:47:52,-11
09/22/23 03:48:52,0
09/22/23 03:49:53,0
09/22/23 03:50:53,-4
09/22/23 03:51:53,-7
09/22/23 03:52:53,-3
09/22/23 03:53:53,-2
09/22/23 03:54:53,-7
09/22/23 03:55:53,-1
09/22/23 03:56:53,0
09/22/23 03:57:53,-7
09/22/23 03:58:53,-3
09/22/23 03:59:54,-1
09/22/23 04:00:54,-2
09/22/23 04:01:54,0
09/22/23 04:02:54,-4
09/22/23 04:03:54,0
09/22/23 04:04:54,-1
09/22/23 04:05:54,0
09/22/23 04:06:55,-1
09/22/23 04:07:55,0
09/22/23 04:08:57,0
09/22/23 04:09:57,0
09/22/23 04:10:57,0
09/22/23 04:11:57,2
09/22/23 04:12:58,0
09/22/23 04:13:58,-1
09/22/23 04:14:58,-5
09/22/23 04:15:58,4
09/22/23 04:16:58,16
09/22/23 04:17:58,-1
09/22/23 04:18:58,-8
09/22/23 04:19:59,0
09/22/23 04:20:59,2
09/22/23 04:21:59,-2
09/22/23 04:22:59,0
09/22/23 04:24:00,-2
09/22/23 04:25:00,0
09/22/23 04:26:00,-1
09/22/23 04:27:00,4
09/22/23 04:28:00,-1
09/22/23 04:29:00,3
09/22/23 04:30:00,-2
09/22/23 04:31:01,-10
09/22/23 04:32:01,-1
09/22/23 04:33:01,-1
09/22/23 04:34:01,-1
09/22/23 04:35:01,0
09/22/23 04:36:01,-4
09/22/23 04:37:01,0
09/22/23 04:38:02,4
09/22/23 04:39:04,-1
09/22/23 04:40:04,6
09/22/23 04:41:05,-3
09/22/23 04:42:05,-8
09/22/23 04:43:05,-2
09/22/23 04:44:05,1
09/22/23 04:45:05,0
09/22/23 04:46:05,15
09/22/23 04:47:05,-5
09/22/23 04:48:06,-1
09/22/23 04:49:06,-16
09/22/23 04:50:06,-3
09/22/23 04:51:06,31
09/22/23 04:52:06,-10
09/22/23 04:53:06,-65
09/22/23 04:54:09,-92
09/22/23 04:55:10,-93
09/22/23 04:56:10,-58
09/22/23 04:57:10,-104
09/22/23 04:58:10,24
09/22/23 04:59:10,10
09/22/23 05:00:10,-83
09/22/23 05:01:10,42
09/22/23 05:02:11,-77
09/22/23 05:03:11,1
09/22/23 05:04:11,29
09/22/23 05:05:11,-1
09/22/23 05:06:11,-9
09/22/23 05:07:11,0
09/22/23 05:08:11,0
09/22/23 05:09:15,-3
09/22/23 05:10:15,63
09/22/23 05:11:15,13
09/22/23 05:12:15,9
09/22/23 05:13:16,-51
09/22/23 05:14:16,-6
09/22/23 05:15:16,-29
09/22/23 05:16:16,-49
09/22/23 05:17:16,-48
09/22/23 05:18:16,1
09/22/23 05:19:16,-10
09/22/23 05:20:17,0
09/22/23 05:21:17,1
09/22/23 05:22:17,8
09/22/23 05:23:17,8
09/22/23 05:24:21,-1
09/22/23 05:25:21,29
09/22/23 05:26:21,0
09/22/23 05:27:21,-3
09/22/23 05:28:22,-1
09/22/23 05:29:22,-1
09/22/23 05:30:22,-41
09/22/23 05:31:22,21
09/22/23 05:32:22,0
09/22/23 05:33:22,6
09/22/23 05:34:23,6
09/22/23 05:35:23,-6
09/22/23 05:36:23,1
09/22/23 05:37:23,-4
09/22/23 05:38:23,-36
09/22/23 05:39:27,-1
09/22/23 05:40:27,14
09/22/23 05:41:27,0
09/22/23 05:42:27,0
09/22/23 05:43:27,-1
09/22/23 05:44:27,64
09/22/23 05:45:28,0
09/22/23 05:46:28,0
09/22/23 05:47:28,2
09/22/23 05:48:28,9
09/22/23 05:49:28,-5
09/22/23 05:50:28,0
09/22/23 05:51:29,2
09/22/23 05:52:29,1
09/22/23 05:53:29,-2
09/22/23 05:54:29,0
09/22/23 05:55:31,-14
09/22/23 05:56:31,27
09/22/23 05:57:31,-5
09/22/23 05:58:31,4
09/22/23 05:59:31,-1
09/22/23 06:00:31,13
09/22/23 06:01:32,-16
09/22/23 06:02:32,16
09/22/23 06:03:32,-5
09/22/23 06:04:32,-1
09/22/23 06:05:32,-6
09/22/23 06:06:32,1
09/22/23 06:07:32,-9
09/22/23 06:08:33,-1
09/22/23 06:09:34,5
09/22/23 06:10:37,-5
09/22/23 06:11:37,7
09/22/23 06:12:38,-2
09/22/23 06:13:38,-2
09/22/23 06:14:38,-1
09/22/23 06:15:38,-10
09/22/23 06:16:38,21
09/22/23 06:17:38,0
09/22/23 06:18:39,-13
09/22/23 06:19:39,-21
09/22/23 06:20:39,0
09/22/23 06:21:39,27
09/22/23 06:22:39,2
09/22/23 06:23:39,0
09/22/23 06:24:39,-8
09/22/23 06:25:44,6
09/22/23 06:26:44,-9
09/22/23 06:27:44,-4
09/22/23 06:28:44,-1
09/22/23 06:29:44,1
09/22/23 06:30:45,0
09/22/23 06:31:45,-1
09/22/23 06:32:45,-12
09/22/23 06:33:45,0
09/22/23 06:34:45,0
09/22/23 06:35:45,0
09/22/23 06:36:45,-1
09/22/23 06:37:46,1
09/22/23 06:38:46,4
09/22/23 06:39:46,25
09/22/23 06:40:48,46
09/22/23 06:41:48,51
09/22/23 06:42:48,0
09/22/23 06:43:49,-7
09/22/23 06:44:49,-7
09/22/23 06:45:49,33
09/22/23 06:46:49,-1
09/22/23 06:47:49,-41
09/22/23 06:48:49,15
09/22/23 06:49:50,-6
09/22/23 06:50:50,-8
09/22/23 06:51:50,-21
09/22/23 06:52:50,-1
09/22/23 06:53:50,-2
09/22/23 06:54:50,-23
09/22/23 06:55:52,-1
09/22/23 06:56:53,-11
09/22/23 06:57:53,-4
09/22/23 06:58:53,-44
09/22/23 06:59:53,0
09/22/23 07:00:53,-7
09/22/23 07:01:53,-2
09/22/23 07:02:53,-2
09/22/23 07:03:54,-6
09/22/23 07:04:54,-2
09/22/23 07:05:54,-11
09/22/23 07:06:54,-1
09/22/23 07:07:54,30
09/22/23 07:08:54,-15
09/22/23 07:09:54,-1
09/22/23 07:10:59,-1
09/22/23 07:11:59,-1
09/22/23 07:12:59,-3
09/22/23 07:13:59,-6
09/22/23 07:15:00,-60
09/22/23 07:16:00,5
09/22/23 07:17:00,23
09/22/23 07:18:00,26
09/22/23 07:19:00,-3
09/22/23 07:20:00,0
09/22/23 07:21:01,0
09/22/23 07:22:01,-4
09/22/23 07:23:01,0
09/22/23 07:24:01,-10
09/22/23 07:25:01,-8
09/22/23 07:26:05,-4
09/22/23 07:27:05,1
09/22/23 07:28:05,3
09/22/23 07:29:05,-1
09/22/23 07:30:05,-1
09/22/23 07:31:05,-2
09/22/23 07:32:05,0
09/22/23 07:33:06,-3
09/22/23 07:34:06,-1
09/22/23 07:35:06,-16
09/22/23 07:36:06,11
09/22/23 07:37:06,6
09/22/23 07:38:06,-3
09/22/23 07:39:07,-3
09/22/23 07:40:07,5
09/22/23 07:41:09,0
09/22/23 07:42:09,-1
09/22/23 07:43:09,6
09/22/23 07:44:09,0
09/22/23 07:45:09,-1
09/22/23 07:46:09,-2
09/22/23 07:47:09,3
09/22/23 07:48:10,-14
09/22/23 07:49:10,19
09/22/23 07:50:10,10
09/22/23 07:51:10,1
09/22/23 07:52:10,-9
09/22/23 07:53:10,1
09/22/23 07:54:11,4
09/22/23 07:55:11,3
09/22/23 07:56:15,1
09/22/23 07:57:15,42
09/22/23 07:58:15,1
09/22/23 07:59:15,2
09/22/23 08:00:15,4
09/22/23 08:01:16,14
09/22/23 08:02:16,0
09/22/23 08:03:16,-10
09/22/23 08:04:16,51
09/22/23 08:05:16,-70
09/22/23 08:06:16,24
09/22/23 08:07:17,5
09/22/23 08:08:17,2
09/22/23 08:09:17,-2
09/22/23 08:10:17,-6
09/22/23 08:11:20,1
09/22/23 08:12:20,8
09/22/23 08:13:20,-12
09/22/23 08:14:20,1
09/22/23 08:15:21,-1
09/22/23 08:16:21,13
09/22/23 08:17:21,1
09/22/23 08:18:21,-30
09/22/23 08:19:21,18
09/22/23 08:20:21,5
09/22/23 08:21:22,14
09/22/23 08:22:22,-17
09/22/23 08:23:22,10
09/22/23 08:24:22,-12
09/22/23 08:25:22,-7
09/22/23 08:26:23,2
09/22/23 08:27:27,49
09/22/23 08:28:27,-11
09/22/23 08:29:27,0
09/22/23 08:30:28,0
09/22/23 08:31:28,-2
09/22/23 08:32:28,15
09/22/23 08:33:28,-73
09/22/23 08:34:28,9
09/22/23 08:35:28,0
09/22/23 08:36:29,1
09/22/23 08:37:29,16
